,rank,Country,area
0,1,Russia,17098242
1,2,Canada,9984670
2,3,China,9706961
3,4,United States,9372610
4,5,Brazil,8515767
5,6,Australia,7692024
6,7,India,3287590
7,8,Argentina,2780400
8,9,Kazakhstan,2724900
9,10,Algeria,2381741
10,11,DR Congo,2344858
11,12,Greenland,2166086
12,13,Saudi Arabia,2149690
13,14,Mexico,1964375
14,15,Indonesia,1904569
15,16,Sudan,1886068
16,17,Libya,1759540
17,18,Iran,1648195
18,19,Mongolia,1564110
19,20,Peru,1285216
20,21,Chad,1284000
21,22,Niger,1267000
22,23,Angola,1246700
23,24,Mali,1240192
24,25,South Africa,1221037
25,26,Colombia,1141748
26,27,Ethiopia,1104300
27,28,Bolivia,1098581
28,29,Mauritania,1030700
29,30,Egypt,1002450
30,31,Tanzania,945087
31,32,Nigeria,923768
32,33,Venezuela,916445
33,34,Pakistan,881912
34,35,Namibia,825615
35,36,Mozambique,801590
36,37,Turkey,783562
37,38,Chile,756102
38,39,Zambia,752612
39,40,Myanmar,676578
40,41,Afghanistan,652230
41,42,Somalia,637657
42,43,Central African Republic,622984
43,44,South Sudan,619745
44,45,Ukraine,603500
45,46,Madagascar,587041
46,47,Botswana,582000
47,48,Kenya,580367
48,49,France,551695
49,50,Yemen,527968
50,51,Thailand,513120
51,52,Spain,505992
52,53,Turkmenistan,488100
53,54,Cameroon,475442
54,55,Papua New Guinea,462840
55,56,Sweden,450295
56,57,Uzbekistan,447400
57,58,Morocco,446550
58,59,Iraq,438317
59,60,Paraguay,406752
60,61,Zimbabwe,390757
61,62,Japan,377930
62,63,Germany,357114
63,64,Philippines,342353
64,65,Republic of the Congo,342000
65,66,Finland,338424
66,67,Vietnam,331212
67,68,Malaysia,330803
68,69,Norway,323802
69,70,Ivory Coast,322463
70,71,Poland,312679
71,72,Oman,309500
72,73,Italy,301336
73,74,Ecuador,276841
74,75,Burkina Faso,272967
75,76,New Zealand,270467
76,77,Gabon,267668
77,78,Western Sahara,266000
78,79,Guinea,245857
79,80,United Kingdom,242900
80,81,Uganda,241550
81,82,Ghana,238533
82,83,Romania,238391
83,84,Laos,236800
84,85,Guyana,214969
85,86,Belarus,207600
86,87,Kyrgyzstan,199951
87,88,Senegal,196722
88,89,Syria,185180
89,90,Cambodia,181035
90,91,Uruguay,181034
91,92,Suriname,163820
92,93,Tunisia,163610
93,94,Bangladesh,147570
94,95,Nepal,147181
95,96,Tajikistan,143100
96,97,Greece,131990
97,98,Nicaragua,130373
