,Year,Country Code,primary_energy_consumption_terrawats_per_hour
116,2016,AFG,34.458
117,2017,AFG,36.617
118,2018,AFG,41.989
119,2019,AFG,35.974
237,2016,nan,5185.926
238,2017,nan,5315.155
239,2018,nan,5439.411
240,2019,nan,5553.673
294,2016,nan,5185.926
295,2017,nan,5315.155
296,2018,nan,5439.411
297,2019,nan,5553.673
416,2016,nan,
533,2016,ALB,37.984
534,2017,ALB,36.737
535,2018,ALB,41.67
536,2019,ALB,32.457
654,2016,DZA,616.996
655,2017,DZA,623.795
656,2018,DZA,671.361
657,2019,DZA,694.885
696,2016,ASM,1.443
697,2017,ASM,1.439
698,2018,ASM,1.439
699,2019,ASM,1.439
817,2016,AGO,106.752
818,2017,AGO,101.83
819,2018,AGO,98.985
820,2019,AGO,109.148
859,2016,ATA,0.058
860,2017,ATA,0.055
861,2018,ATA,0.055
862,2019,ATA,0.055
899,2016,ATG,3.089
900,2017,ATG,2.937
901,2018,ATG,3.035
902,2019,ATG,3.048
1020,2016,ARG,991.691
1021,2017,ARG,990.585
1022,2018,ARG,983.482
1023,2019,ARG,930.807
1050,2016,ARM,40.95
1051,2017,ARM,43.641
1052,2018,ARM,42.928
1053,2019,ARM,45.958
1086,2016,ABW,5.246
1087,2017,ABW,5.432
1088,2018,ABW,5.248
1089,2019,ABW,5.441
1207,2016,nan,77189.898
1208,2017,nan,79648.156
1209,2018,nan,82551.156
1210,2019,nan,84601.555
1249,2016,nan,70822.039
1250,2017,nan,72805.867
1251,2018,nan,75393.289
1252,2019,nan,76616.352
1304,2016,nan,65450.457
1305,2017,nan,67577.164
1306,2018,nan,70205.586
1307,2019,nan,72087.094
1426,2016,nan,
1543,2016,AUS,1605.949
1544,2017,AUS,1600.27
1545,2018,AUS,1621.238
1546,2019,AUS,1678.908
1585,2016,nan,2028.484
1586,2017,nan,2087.153
1587,2018,nan,2073.271
1588,2019,nan,2066.607
1705,2016,AUT,408.52
1706,2017,AUT,417.629
1707,2018,AUT,407.828
1708,2019,AUT,428.219
1742,2016,AZE,169.735
1743,2017,AZE,166.48
1744,2018,AZE,171.301
1745,2019,AZE,180.656
1784,2016,BHS,12.373
1785,2017,BHS,14.755
1786,2018,BHS,16.031
1787,2019,BHS,16.035
1905,2016,BHR,203.156
1906,2017,BHR,209.011
1907,2018,BHR,211.639
1908,2019,BHR,238.286
2027,2016,BGD,369.664
2028,2017,BGD,384.15
2029,2018,BGD,406.89
2030,2019,BGD,452.585
2149,2016,BRB,6.989
2150,2017,BRB,6.602
2151,2018,BRB,7.031
2152,2019,BRB,7.043
2185,2016,BLR,272.842
2186,2017,BLR,277.869
2187,2018,BLR,307.253
2188,2019,BLR,308.826
2307,2016,BEL,723.427
