,Country Code,Year,Inflation
0,ABW,2016,-0.89
1,AFG,2016,4.38
2,AGO,2016,32.38
3,ALB,2016,1.29
4,ARE,2016,1.62
5,ARG,2016,39.4
6,ARM,2016,-1.41
7,ATG,2016,-0.49
8,AUS,2016,1.28
9,AUT,2016,0.89
10,AZE,2016,12.44
11,BDI,2016,5.56
12,BEL,2016,1.97
13,BEN,2016,-0.85
14,BFA,2016,-0.24
15,BGD,2016,5.51
16,BGR,2016,-0.8
17,BHR,2016,2.8
18,BHS,2016,-0.35
19,BIH,2016,-1.06
20,BLR,2016,11.8
21,BLZ,2016,0.66
22,BOL,2016,3.63
23,BRA,2016,8.74
24,BRB,2016,1.28
25,BRN,2016,-0.74
26,BTN,2016,4.31
27,BWA,2016,2.78
28,CAF,2016,4.01
29,CYM,2016,-0.59
30,CAN,2016,1.43
31,CHE,2016,-0.43
32,CHL,2016,3.79
33,CHN,2016,2.0
34,CIV,2016,0.71
35,CMR,2016,0.87
36,COD,2016,18.2
37,COG,2016,3.19
38,COL,2016,7.51
39,COM,2016,1.8
40,CPV,2016,-1.41
41,CRI,2016,-0.02
42,CUW,2016,0.08
43,CYP,2016,-1.43
44,CZE,2016,0.68
45,DEU,2016,0.49
46,DJI,2016,2.7
47,DMA,2016,0.03
48,DNK,2016,0.25
49,DOM,2016,1.63
50,DZA,2016,5.8
51,ECU,2016,1.73
52,EGY,2016,13.81
53,ERI,2016,9.0
54,ESP,2016,-0.2
55,EST,2016,0.15
56,ETH,2016,7.28
57,FIN,2016,0.36
58,FJI,2016,3.87
59,FRA,2016,0.18
60,FSM,2016,-1.04
61,GAB,2016,2.09
62,GBR,2016,1.0
63,GEO,2016,2.12
64,GHA,2016,17.44
65,GIN,2016,8.17
66,GMB,2016,7.22
67,GNB,2016,1.5
68,GNQ,2016,1.4
69,GRC,2016,-0.83
70,GRD,2016,1.72
71,GTM,2016,4.45
72,GUY,2016,0.83
73,HKG,2016,2.42
74,HND,2016,2.72
75,HRV,2016,-1.12
76,HTI,2016,13.38
77,HUN,2016,0.39
78,IDN,2016,3.53
79,IND,2016,4.94
80,IRL,2016,0.01
81,IRN,2016,7.26
82,IRQ,2016,0.52
83,ISL,2016,1.7
84,ISR,2016,-0.54
85,ITA,2016,-0.09
86,JAM,2016,2.35
87,JOR,2016,-0.78
88,JPN,2016,-0.12
89,KAZ,2016,14.59
90,KEN,2016,6.33
91,KGZ,2016,0.39
92,KHM,2016,3.02
93,KIR,2016,1.92
94,KNA,2016,-0.34
95,KOR,2016,0.97
96,KWT,2016,2.96
97,LAO,2016,1.6
